,scores,common_scores,info,link
"Молоко ""Экомилк"" 3,2% пастеризованное","[95, 75, 67, 79]",[79],"Молоко пастеризованное ""Экомилк"" производится в Московской области в соответствии с ГОСТ 31450-2013.По проверенным показателям образец соответствует требованиям безопасности и обладает хорошими микробиологическими показателями. Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены. Консервантов в нем тоже нет. Антибиотики не обнаружены. Показатели белка и жира соответствуют маркировке. Количество углеводов незначительно превышает указанное. Содержание фосфатов соответствует норме. Фитостерины не обнаружены.По органолептическим и физико-химическим показателям молоко соответствует ГОСТ 31450-2013, который указан в маркировке. Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов. Показатели плотности, жирности и кислотности этого продукта в рамках допустимых значений.",https://roscontrol.com//product/moloko-ekomilk/
"Молоко ""Ашан"" 2,5%, пастеризованное","[88, 70, 61, 86]",[76],"Молоко пастеризованное ""Ашан"" соответствует требованиям безопасности по проверенным показателям.Содержание белка больше на 16% отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Имеет незначительные недостатки по органолептическим показателям: цвет молока белый с легким желтоватым оттенком. Сравнительно высокое содержание добавленного фосфата по сравнению со средними значениями для данного вида продукции.Имеет хорошие органолептические свойства. Не содержит растительного жира. Низкая цена за 1 литр продукции по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/ashan-25-pasterizovannoe/
"Молоко ""Вологодское лето"" 2,5%, пастеризованное","[83, 70, 66, 62]",[70],"Молоко пастеризованное ""Вологодское лето"" соответствует требованиям безопасности по проверенным показателям.Содержание жира больше на 20% отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Имеет недостатки по органолептическим показателям: легкий кормовой привкус, цвет молока белый с легким кремовым оттенком.Не содержит растительного жира. Сравнительно низкая массовая концентрация лактулозы по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/vologodskoe-leto-25-pasterizovannoe/
"Молоко ""Молоко нашей дойки"" 2,5%, пастеризованное","[90, 70, 62, 70]",[73],"Молоко пастеризованное ""Молоко нашей дойки"" соответствует требованиям безопасности по проверенным показателям.Содержание белка больше на 12% отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Имеет незначительные недостатки по органолептическим показателям: цвет молока белый с легким кремовым оттенком. Низкое содержание СОМО (по сравнению со средними значениями для данного вида продукции), но не ниже чем требует технический регламент и ГОСТ 31450-2013.Имеет хорошие органолептические свойства. Не содержит растительного жира.",https://roscontrol.com//product/moloko-nashey-doyki-25-pasterizovannoe/
"Молоко Billa 2,5%, пастеризованное","[89, 65, 61, 73]",[72],"Молоко пастеризованное Billa соответствует требованиям безопасности по проверенным показателям.Содержание белка больше на 19% отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Имеет недостатки по органолептическим показателям: легкий кормовой привкус, цвет молока белый с легким желтоватым оттенком. Образец имеет недостатки по физико-химическим показателям: сравнительно высокая массовая концентрация лактулозы по сравнению со средними значениями для данного вида продукции.Не содержит растительного жира. Высокое содержание кальция по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/billa-25-pasterizovannoe/
"Молоко ""Сарафаново"" 2,5%, пастеризованное","[89, 65, 62, 73]",[72],"Молоко пастеризованное ""Сарафаново"" соответствует требованиям безопасности по проверенным показателям.Содержание белка на 23% отн., жира на 12% отн. больше, чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец изготовлен по ТУ, которые экспертам не известны, но по органолептическим и физико-химическим показателям образец соответствует стандарту (ГОСТ 31450-2013) на данный вид продукции.Имеет недостатки по органолептическим показателям: легкий кормовой привкус, цвет молока белый с легким желтоватым оттенком. Сравнительно высокое содержание добавленного фосфата по сравнению со средними значениями для данного вида продукции.Не содержит растительного жира.",https://roscontrol.com//product/sarafanovo-25-pasterizovannoe/
"Молоко ""Простоквашино"" 2,5%, пастеризованное","[89, 70, 62, 80]",[75],"Молоко пастеризованное ""Простоквашино"" соответствует требованиям безопасности по проверенным показателям.Содержание белка больше на 14% отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям. Имеет хорошие органолептические свойства. Не содержит растительного жира. Высокое содержание сухого обезжиренного молочного остатка (СОМО) по сравнению со средними значениями для данного вида продукции.Имеет незначительные недостатки по органолептическим показателям: цвет молока белый с легким желтоватым оттенком.",https://roscontrol.com//product/prostokvashino-25-pasterizovannoe/
"Молоко ""Домик в деревне"" 2,5%, пастеризованное","[86, 70, 62, 75]",[73],"Молоко пастеризованное ""Домик в деревне"" соответствует требованиям безопасности по проверенным показателям.Содержание белка больше на 14%отн., чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Имеет недостатки по органолептическим показателям: легкий кормовой привкус, цвет молока белый с легким желтоватым оттенком. Высокая цена за 1 литр продукции по сравнению со средними значениями для данного вида продукции.Не содержит растительного жира. Высокое содержание кальция по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/moloko-pasterizovannoe-domik-v-derevne-2-5/
"Молоко ""Зеленая линия / Маркет Перекресток"", 3,2% пастеризованное","[80, 80, 67, 73]",[75],"Молоко ""Зеленая линия / Маркет ПЕРЕКРЕСТОК"" соответствует требованиям безопасности по проверенным показателям.Массовая доля жира на 0,1% меньше, чем указано в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец изготовлен по ТУ, которые экспертам не известны, но по органолептическим и физико-химическим показателям образец соответствует ГОСТ 31450-2013 на аналогичный вид продукции.Молоко имеет недостатки по органолептическим показателям: незначительный кормовой привкус. Не содержит растительного жира. Не содержит сухого молока. Высокое содержание кальция по сравнению со средними значениями для данного вида продукции. Низкая цена за 1 литр по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/zelenaya-liniya-market-perekrestok-32-pasterizovannoe/
"Молоко ""Искренне Ваш"", 3,2% пастеризованное","[62, 70, 66, 83]",[70],"Молоко ""Искренне Ваш"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец соответствует ГОСТ 31450-2013 по органолептическим и физико-химическим показателям.Молоко имеет хорошие органолептические свойства. Не содержит растительного жира. Не содержит сухого молока. Высокое содержание кальция по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/iskrenne-vash-32-pasterizovannoe/
